16,18
[floor1]
A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,-1,D1,-1,-1,-1,D3,-1,-1,-1,D2,-1,-1,0
0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0
0,0,0,0,-1,0,0,0,-1,0,0,K4,-1,0,0,K3,-1,0
0,0,0,0,-1,0,0,K2,-1,0,0,0,-1,0,0,0,-1,0
0,0,0,0,-1,-1,-1,-1,-1,-1,D8,-1,-1,-1,-1,-1,-1,0
0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0
0,0,0,0,D4,0,K5,0,-1,0,K9,0,-1,0,K6,0,D5,0
0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0
0,0,0,0,D7,0,0,0,D9,0,T1,0,-1,0,K7,0,D6,0
0,0,0,0,-1,0,K8,0,-1,0,0,0,-1,0,0,0,-1,0
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,K1
