25,25
[floor1]
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K19,0,0,0,0,0,0,0,0,0,-1,D20,-1,0,0,0,0,0,0,0,0,0,K20,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D19,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K17,0,0,0,0,0,0,0,0,0,-1,D18,-1,0,0,0,0,0,0,0,0,0,K18,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D17,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K15,0,0,0,0,0,0,0,0,0,-1,D16,-1,0,0,0,0,0,0,0,0,0,K16,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D15,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K13,0,0,0,0,0,0,0,0,0,-1,D14,-1,0,0,0,0,0,0,0,0,0,K14,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D13,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K11,0,0,0,0,0,0,0,0,0,-1,D12,-1,0,0,0,0,0,0,0,0,0,K12,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D11,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K9,0,0,0,0,0,0,0,0,0,-1,D10,-1,0,0,0,0,0,0,0,0,0,K10,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D9,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K7,0,0,0,0,0,0,0,0,0,-1,D8,-1,0,0,0,0,0,0,0,0,0,K8,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D7,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K5,0,0,0,0,0,0,0,0,0,-1,D6,-1,0,0,0,0,0,0,0,0,0,K6,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K3,0,0,0,0,0,0,0,0,0,-1,D4,-1,0,0,0,0,0,0,0,0,0,K4,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,K1,0,0,0,0,0,0,0,0,0,-1,D2,-1,0,0,0,0,0,0,0,0,0,K2,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,D1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,A1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
